kernel,m,n,k,measured_gflops_mean,compute_roof_gflops,effective_roof_gflops,PES,bound_type,memory_level,source_file,source_identifier,proxy
GEMM,32,32,32,4.738,5.041,285.1,0.01663,memory,l1,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=square_n32;threads=32;measured_gflops_best=5.041231,false
GEMM,64,64,64,1.304,10.41,399.9,0.003260,memory,l2,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=square_n64;threads=32;measured_gflops_mean=1.303659,false
GEMM,128,128,128,3.124,19.83,452.5,0.006905,memory,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=square_n128;threads=32;measured_gflops_mean=3.124171,false
GEMM,256,256,256,39.31,41.80,1005,0.03911,memory,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=k_sweep_k512;threads=32;m=256;k=512,false
GEMM,512,512,512,73.79,78.42,1792,0.04118,compute,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=scale_square_512;threads=32,false
GEMM,1024,1024,1024,133.9,135.3,1789,0.07486,memory,dram,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=scale_square_1024;threads=32,false
GEMM,2048,2048,2048,89.91,114.6,489.1,0.1838,memory,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_rows.csv,PROXY_from=wide_short_64x2048x256;threads=32,true

GEMM,2048,64,256,18.78,19.36,56.00,0.3354,compute,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=tall_skinny_2048x64x256;threads=1,false
GEMM,64,2048,256,89.91,114.6,489.1,0.1838,memory,l3,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=wide_short_64x2048x256;threads=32,false
GEMM,256,256,2048,38.72,38.84,542.2,0.07141,memory,dram,build/reports/gemm-analysis-quick-rerun/gemm_analysis_runs.csv,case_id=k_heavy_256x256x2048;threads=32,false
