kernel,m,n,k,measured_gflops_mean,compute_roof_gflops,effective_roof_gflops,PES,bound_type,memory_level,source_file,source_identifier,proxy
GEMM,128,128,128,21.564545,206.537633,206.537633,0.104410,compute,l3,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=128;threads=32;mr=5;nr=6,false
GEMM,192,192,192,26.297187,206.537633,206.537633,0.127324,compute,l3,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=192;threads=16;mr=5;nr=4,false
GEMM,256,256,256,41.171082,206.537633,206.537633,0.199339,compute,l3,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=256;threads=8;mr=5;nr=6,false
GEMM,384,384,384,61.964439,206.537633,206.537633,0.300015,compute,l3,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=384;threads=8;mr=5;nr=6,false
GEMM,512,512,512,50.088718,206.537633,206.537633,0.242516,compute,l3,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=512;threads=32;mr=4;nr=4,false
GEMM,768,768,768,67.464678,206.537633,206.537633,0.326646,compute,dram,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=768;threads=8;mr=5;nr=4,false
GEMM,1024,1024,1024,141.297622,206.537633,206.537633,0.684125,compute,dram,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=1024;threads=32;mr=5;nr=6,false
GEMM,1536,1536,1536,183.084278,206.537633,206.537633,0.886445,compute,dram,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=1536;threads=32;mr=6;nr=6,false
GEMM,2048,2048,2048,172.961686,206.537633,206.537633,0.837434,compute,dram,build/reports/roofline-gemm-20260323/portable_efficiency_gemm_best_by_size.csv,n=2048;threads=16;mr=5;nr=6,false
